<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.20	13:41:00	24890	24896	24889	24896	24	0	14
2021.08.20	13:42:00	24896	24897	24892	24894	18	0	14
2021.08.20	13:43:00	24893	24898	24893	24897	9	0	14
2021.08.20	13:44:00	24897	24901	24897	24901	18	0	14
2021.08.20	13:45:00	24901	24905	24901	24905	12	0	14
2021.08.20	13:46:00	24905	24915	24905	24912	25	0	14
2021.08.20	13:47:00	24912	24912	24910	24910	13	0	14
2021.08.20	13:48:00	24910	24915	24910	24912	24	0	14
2021.08.20	13:49:00	24913	24914	24909	24910	17	0	14
2021.08.20	13:50:00	24911	24912	24909	24909	12	0	14
2021.08.20	13:51:00	24909	24909	24901	24905	27	0	14
2021.08.20	13:52:00	24905	24905	24898	24898	14	0	14
2021.08.20	13:53:00	24898	24898	24893	24893	17	0	14
2021.08.20	13:54:00	24894	24894	24883	24885	17	0	14
2021.08.20	13:55:00	24885	24892	24885	24892	13	0	14
2021.08.20	13:56:00	24892	24894	24890	24891	14	0	14
2021.08.20	13:57:00	24891	24891	24888	24890	16	0	14
2021.08.20	13:58:00	24890	24893	24888	24891	23	0	14
2021.08.20	13:59:00	24892	24893	24889	24889	11	0	14
2021.08.20	14:00:00	24889	24891	24880	24883	32	0	14
2021.08.20	14:01:00	24883	24884	24880	24882	25	0	14
2021.08.20	14:02:00	24882	24883	24878	24879	17	0	14
2021.08.20	14:03:00	24879	24880	24876	24876	16	0	14
2021.08.20	14:04:00	24876	24876	24870	24875	16	0	14
2021.08.20	14:05:00	24875	24880	24874	24878	24	0	14
2021.08.20	14:06:00	24878	24882	24877	24880	16	0	14
2021.08.20	14:07:00	24880	24881	24874	24874	10	0	14
2021.08.20	14:08:00	24874	24874	24870	24870	18	0	14
2021.08.20	14:09:00	24870	24870	24862	24862	25	0	14
2021.08.20	14:10:00	24863	24872	24862	24870	20	0	14
2021.08.20	14:11:00	24870	24874	24868	24873	20	0	14
2021.08.20	14:12:00	24874	24874	24869	24869	14	0	14
2021.08.20	14:13:00	24869	24869	24864	24867	20	0	14
2021.08.20	14:14:00	24867	24868	24865	24867	16	0	14
2021.08.20	14:15:00	24867	24871	24865	24869	15	0	14
2021.08.20	14:16:00	24868	24869	24864	24864	16	0	14
2021.08.20	14:17:00	24864	24871	24864	24868	21	0	14
2021.08.20	14:18:00	24868	24875	24868	24875	18	0	14
2021.08.20	14:19:00	24875	24878	24875	24876	18	0	14
2021.08.20	14:20:00	24876	24884	24874	24884	24	0	14
2021.08.20	14:21:00	24884	24886	24883	24884	11	0	14
2021.08.20	14:22:00	24884	24889	24884	24888	17	0	14
2021.08.20	14:23:00	24887	24892	24887	24891	13	0	14
2021.08.20	14:24:00	24891	24893	24889	24890	13	0	14
2021.08.20	14:25:00	24890	24893	24890	24891	14	0	14
2021.08.20	14:26:00	24891	24899	24890	24899	30	0	14
2021.08.20	14:27:00	24899	24901	24898	24900	14	0	14
2021.08.20	14:28:00	24900	24905	24898	24900	29	0	14
2021.08.20	14:29:00	24900	24902	24899	24900	14	0	14
2021.08.20	14:30:00	24900	24904	24897	24904	16	0	14
2021.08.20	14:31:00	24904	24906	24901	24902	22	0	14
2021.08.20	14:32:00	24902	24904	24897	24897	18	0	14
2021.08.20	14:33:00	24899	24899	24896	24898	14	0	14
2021.08.20	14:34:00	24897	24897	24890	24893	17	0	14
2021.08.20	14:35:00	24893	24898	24893	24898	23	0	14
2021.08.20	14:36:00	24897	24904	24895	24903	24	0	14
2021.08.20	14:37:00	24903	24905	24902	24905	19	0	14
2021.08.20	14:38:00	24904	24909	24904	24908	8	0	14
2021.08.20	14:39:00	24908	24918	24908	24916	13	0	14
2021.08.20	14:40:00	24916	24919	24916	24918	26	0	14
2021.08.20	14:41:00	24918	24918	24914	24914	17	0	14
2021.08.20	14:42:00	24914	24916	24914	24914	9	0	14
2021.08.20	14:43:00	24914	24915	24908	24909	18	0	14
2021.08.20	14:44:00	24909	24909	24907	24907	9	0	14
2021.08.20	14:45:00	24908	24910	24907	24907	10	0	14
2021.08.20	14:46:00	24907	24908	24903	24904	13	0	14
2021.08.20	14:47:00	24903	24903	24899	24900	18	0	14
2021.08.20	14:48:00	24900	24902	24900	24902	8	0	14
2021.08.20	14:49:00	24902	24903	24896	24901	18	0	14
2021.08.20	14:50:00	24901	24901	24898	24900	12	0	14
2021.08.20	14:51:00	24900	24900	24896	24896	11	0	14
2021.08.20	14:52:00	24896	24899	24896	24899	12	0	14
2021.08.20	14:53:00	24898	24899	24898	24899	6	0	14
2021.08.20	14:54:00	24899	24899	24897	24897	11	0	14
2021.08.20	14:55:00	24897	24899	24895	24898	23	0	14
2021.08.20	14:56:00	24898	24898	24894	24894	9	0	14
